d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Anxiety disorder,40895,0.9156865142437951,Hypertension
Diabetes,Anxiety disorder,15184,3.9631849315068495,Arthrosis/spondylosis
Diabetes,Anxiety disorder,9756,3.8591635916359164,Hyperlipidaemia
Diabetes,Anxiety disorder,7051,1.0231172883278967,Heart failure
Diabetes,Anxiety disorder,5267,1.2384659198784886,Atrial fibrillation
Diabetes,Anxiety disorder,5188,1.1567077872012337,Retinopathy
Diabetes,Anxiety disorder,4734,0.6947613012251795,Ischemic heart disease
Diabetes,Anxiety disorder,3093,3.5515680569026835,COPD
Diabetes,Anxiety disorder,2938,4.04356705241661,Obesity
Diabetes,Anxiety disorder,2889,0.7552786431291104,Glaucoma
Diabetes,Anxiety disorder,2731,1.8030025631636764,Motor disorders with no CVA
Diabetes,Anxiety disorder,2391,3.8996235884567128,Chronic kidney disease
Diabetes,Anxiety disorder,2314,3.726447709593777,Mood disorder
Diabetes,Anxiety disorder,1924,3.5784823284823286,Hypothyroidism
Diabetes,Anxiety disorder,1376,0.8488372093023255,Extremity arteriopathy diseases
Diabetes,Anxiety disorder,1267,4.0071033938437255,Asthma
Diabetes,Anxiety disorder,1165,3.395708154506438,Tobacco dependence
Diabetes,Anxiety disorder,1090,3.553211009174312,Osteoporosis
Diabetes,Anxiety disorder,1053,1.0968660968660968,Acquired heart diseases
Diabetes,Anxiety disorder,1019,3.6869479882237486,Hepatic steatosis
Diabetes,Anxiety disorder,997,3.365095285857573,Urinary lithiasis
Diabetes,Anxiety disorder,825,3.5454545454545454,Ischemic hepatitis except for cirrhosis
Diabetes,Anxiety disorder,806,3.7568238213399505,Other arthropathies
Diabetes,Anxiety disorder,791,3.3691529709228822,Gastroesophageal reflux disease
Diabetes,Anxiety disorder,739,3.7253044654939105,Other organic mental disorder
Diabetes,Anxiety disorder,686,3.4606413994169096,Dementia
Diabetes,Anxiety disorder,616,3.6818181818181817,Psoriasis
Diabetes,Anxiety disorder,596,0.87751677852349,Disorders of adult personality and behaviour
Diabetes,Anxiety disorder,546,1.4065934065934067,Extrapyramidal disorder
Diabetes,Anxiety disorder,543,1.2651933701657458,Age-related macular degeneration
Diabetes,Anxiety disorder,503,1.091451292246521,Epilepsy
Diabetes,Anxiety disorder,501,3.6067864271457086,Alcohol dependence
Diabetes,Anxiety disorder,436,3.036697247706422,Gout and other crystal deposition diseases
Diabetes,Anxiety disorder,368,3.2472826086956523,Fibromyalgia
Diabetes,Anxiety disorder,351,1.0227920227920229,Sequelae of cerebrovascular diseases
Diabetes,Anxiety disorder,334,0.8502994011976048,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Diabetes,Anxiety disorder,324,1.3950617283950617,Parkinson disease
Diabetes,Anxiety disorder,287,3.602787456445993,Lung and Bronchus Cancer
Diabetes,Anxiety disorder,275,3.4727272727272727,Collagen diseases and vasculitis
Diabetes,Anxiety disorder,246,0.6097560975609756,Other functional disorder
Diabetes,Anxiety disorder,236,1.0381355932203389,Occlusion or stenosis of precerebral arteries
Diabetes,Anxiety disorder,227,3.541850220264317,Colorectal cancer
Diabetes,Anxiety disorder,205,0.8097560975609757,Peripheral and visceral artery aneurysms
Diabetes,Anxiety disorder,204,5.46078431372549,Rheumatoid arthritis and related diseases
Diabetes,Anxiety disorder,195,3.6923076923076925,Schizophrenia
