d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Hyperlipidaemia,152230,0.8231754581882678,Hypertension
Diabetes,Hyperlipidaemia,52342,4.5168507126208395,Diabetes
Diabetes,Hyperlipidaemia,40694,1.3107337691060108,Anxiety disorder
Diabetes,Hyperlipidaemia,39880,4.203159478435306,Arthrosis/spondylosis
Diabetes,Hyperlipidaemia,25296,1.0935721062618595,Obesity
Diabetes,Hyperlipidaemia,20638,0.6912006977420293,Ischemic heart disease
Diabetes,Hyperlipidaemia,13543,1.3374436978512885,Atrial fibrillation
Diabetes,Hyperlipidaemia,13497,1.3220715714603246,Heart failure
Diabetes,Hyperlipidaemia,12357,0.9804968843570446,Hypothyroidism
Diabetes,Hyperlipidaemia,12205,1.0929127406800492,Tobacco dependence
Diabetes,Hyperlipidaemia,10842,1.5092233905183545,Retinopathy
Diabetes,Hyperlipidaemia,10232,3.7771696637998438,COPD
Diabetes,Hyperlipidaemia,8859,1.14279264025285,Mood disorder
Diabetes,Hyperlipidaemia,6351,1.0234608723035743,Glaucoma
Diabetes,Hyperlipidaemia,5757,4.233454924439813,Chronic kidney disease
Diabetes,Hyperlipidaemia,5016,1.2948564593301435,Extremity arteriopathy diseases
Diabetes,Hyperlipidaemia,4328,1.5339648798521257,Motor disorders with no CVA
Diabetes,Hyperlipidaemia,3381,1.593315587104407,Dementia
Diabetes,Hyperlipidaemia,3189,3.5785512699905926,Asthma
Diabetes,Hyperlipidaemia,2905,1.2647160068846817,Alcohol dependence
Diabetes,Hyperlipidaemia,2774,1.6182408074981975,Other organic mental disorder
Diabetes,Hyperlipidaemia,2264,3.644434628975265,Osteoporosis
Diabetes,Hyperlipidaemia,2221,3.653759567762269,Urinary lithiasis
Diabetes,Hyperlipidaemia,2052,3.632066276803119,Other arthropathies
Diabetes,Hyperlipidaemia,2025,3.7269135802469138,Hepatic steatosis
Diabetes,Hyperlipidaemia,1958,3.7180796731358527,Psoriasis
Diabetes,Hyperlipidaemia,1903,1.277982133473463,Acquired heart diseases
Diabetes,Hyperlipidaemia,1717,3.617938264414677,Gastroesophageal reflux disease
Diabetes,Hyperlipidaemia,1602,3.865168539325843,Ischemic hepatitis except for cirrhosis
Diabetes,Hyperlipidaemia,1498,1.7062750333778371,Age-related macular degeneration
Diabetes,Hyperlipidaemia,1418,3.385049365303244,Gout and other crystal deposition diseases
