d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Hypertension,120967,4.868856795655013,Diabetes
Diabetes,Hypertension,108274,4.696704656704287,Arthrosis/spondylosis
Diabetes,Hypertension,67823,4.357946419356265,Hyperlipidaemia
Diabetes,Hypertension,32403,1.7992778446440145,Heart failure
Diabetes,Hypertension,25283,4.331408456274968,COPD
Diabetes,Hypertension,20279,4.414862665811924,Anxiety disorder
Diabetes,Hypertension,14520,5.022382920110193,Chronic kidney disease
Diabetes,Hypertension,13082,4.334505427304694,Obesity
Diabetes,Hypertension,9012,4.793608521970706,Atrial fibrillation
Diabetes,Hypertension,8957,4.322094451267166,Retinopathy
Diabetes,Hypertension,8021,4.194614137888044,Ischemic heart disease
Diabetes,Hypertension,7019,4.111554352471862,Asthma
Diabetes,Hypertension,6824,4.17101406799531,Hypothyroidism
Diabetes,Hypertension,6292,4.255562619198983,Osteoporosis
Diabetes,Hypertension,6172,3.905703175631886,Tobacco dependence
Diabetes,Hypertension,5030,3.998807157057654,Other arthropathies
Diabetes,Hypertension,5028,4.281424025457438,Mood disorder
Diabetes,Hypertension,4831,4.541295797971435,Extremity arteriopathy diseases
Diabetes,Hypertension,4778,4.0832984512348265,Urinary lithiasis
Diabetes,Hypertension,4448,4.148606115107913,Psoriasis
Diabetes,Hypertension,4344,4.297651933701657,Hepatic steatosis
Diabetes,Hypertension,3463,4.10424487438637,Gout and other crystal deposition diseases
Diabetes,Hypertension,3427,4.039393055150277,Gastroesophageal reflux disease
Diabetes,Hypertension,3149,4.098126389329946,Glaucoma
Diabetes,Hypertension,3128,4.448529411764706,Ischemic hepatitis except for cirrhosis
Diabetes,Hypertension,2833,5.053653370984822,Dementia
Diabetes,Hypertension,2828,4.623762376237623,Motor disorders with no CVA
Diabetes,Hypertension,2326,4.608770421324162,Other organic mental disorder
Diabetes,Hypertension,1861,4.438473938742612,Alcohol dependence
Diabetes,Hypertension,1389,4.271418286537077,Acquired heart diseases
Diabetes,Hypertension,1299,4.340261739799846,Age-related macular degeneration
Diabetes,Hypertension,1116,4.343189964157706,Colorectal cancer
Diabetes,Hypertension,1084,4.092250922509225,Collagen diseases and vasculitis
Diabetes,Hypertension,1026,4.284600389863548,Lung and Bronchus Cancer
Diabetes,Hypertension,1019,4.098135426889107,Fibromyalgia
Diabetes,Hypertension,994,4.60261569416499,Malabsorption and food intolerance
Diabetes,Hypertension,919,4.241566920565832,Rheumatoid arthritis and related diseases
Diabetes,Hypertension,630,4.6,Hepatic cirrhosis
Diabetes,Hypertension,589,4.196943972835314,Prostate cancer
Diabetes,Hypertension,577,4.315424610051993,Leukemia
Diabetes,Hypertension,559,4.007155635062611,Bladder cancer
Diabetes,Hypertension,511,4.704500978473582,Breast cancer
Diabetes,Hypertension,506,4.936758893280633,Occlusion or stenosis of precerebral arteries
Diabetes,Hypertension,496,4.443548387096774,Extrapyramidal disorder
Diabetes,Hypertension,493,4.267748478701826,Sequelae of cerebrovascular diseases
Diabetes,Hypertension,447,4.642058165548098,Epilepsy
Diabetes,Hypertension,429,4.923076923076923,Schizophrenia
Diabetes,Hypertension,418,5.861244019138756,Non-Hodgkin's lymphoma
Diabetes,Hypertension,416,4.007211538461538,Regional enteritis and ulcerative colitis
Diabetes,Hypertension,415,4.248192771084337,Dermatitis
Diabetes,Hypertension,404,4.601485148514851,Ill-defined cerebrovascular disease and others
Diabetes,Hypertension,358,4.41340782122905,Parkinson disease
Diabetes,Hypertension,357,4.207282913165266,Kidney and renal pelvis cancer
Diabetes,Hypertension,322,3.9254658385093166,Thyroid cancer
Diabetes,Hypertension,305,3.740983606557377,Head and neck cancer
Diabetes,Hypertension,295,4.820338983050847,Disorders of adult personality and behaviour
Diabetes,Hypertension,255,3.9686274509803923,Peripheral and visceral artery aneurysms
Diabetes,Hypertension,202,5.866336633663367,HIV
Diabetes,Hypertension,201,4.119402985074627,Uterine cancer
Diabetes,Hypertension,174,3.4195402298850577,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Diabetes,Hypertension,171,4.578947368421052,Pancreatic cancer
Diabetes,Hypertension,168,4.369047619047619,Bone and soft tissue sarcomas
Diabetes,Hypertension,139,4.215827338129497,Other functional disorder
Diabetes,Hypertension,138,4.884057971014493,Ovarian cancer
Diabetes,Hypertension,120,4.341666666666667,Melanoma
Diabetes,Hypertension,118,4.288135593220339,Other substance dependece
Diabetes,Hypertension,112,4.883928571428571,Stomach cancer
Diabetes,Hypertension,88,3.602272727272727,Cervical cancer
Diabetes,Hypertension,84,4.75,Liver and Bile Duct Cancer
Diabetes,Hypertension,70,6.428571428571429,Intellectual disability
Diabetes,Hypertension,69,5.144927536231884,Other developmental disorder
Diabetes,Hypertension,67,3.7611940298507465,Intra-abdominal artery disease
Diabetes,Hypertension,64,4.0,Hodgkinâ€™s disease
Diabetes,Hypertension,63,4.396825396825397,Immunoproliferative neoplasm
Diabetes,Hypertension,57,5.0701754385964914,Kaposi's sarcoma
Diabetes,Hypertension,53,5.056603773584905,Congenital cardiovascular anomalies
Diabetes,Hypertension,48,3.875,Eating disorder
Diabetes,Hypertension,32,3.875,Testicular cancer
Diabetes,Hypertension,10,5.3,Autism
