d1.name,d2.name,r2.frequency,r2.avg_years,d3.name
Diabetes,Hypothyroidism,9289,1.0243298525137259,Hypertension
Diabetes,Hypothyroidism,6619,1.0891373319232514,Anxiety disorder
Diabetes,Hypothyroidism,5451,0.665199046046597,Obesity
Diabetes,Hypothyroidism,4939,3.9684146588378213,Arthrosis/spondylosis
Diabetes,Hypothyroidism,3926,0.4337748344370861,Mood disorder
Diabetes,Hypothyroidism,3083,4.077846253649043,Hyperlipidaemia
Diabetes,Hypothyroidism,1778,1.1479190101237344,Heart failure
Diabetes,Hypothyroidism,1499,0.7111407605070047,Ischemic heart disease
Diabetes,Hypothyroidism,1466,1.315825375170532,Atrial fibrillation
Diabetes,Hypothyroidism,1438,1.264951321279555,Retinopathy
Diabetes,Hypothyroidism,1082,0.8410351201478743,Tobacco dependence
Diabetes,Hypothyroidism,972,3.7294238683127574,COPD
Diabetes,Hypothyroidism,781,0.6696542893725992,Extremity arteriopathy diseases
Diabetes,Hypothyroidism,666,4.084084084084084,Chronic kidney disease
Diabetes,Hypothyroidism,652,0.7392638036809815,Dementia
Diabetes,Hypothyroidism,532,1.3120300751879699,Glaucoma
Diabetes,Hypothyroidism,501,3.708582834331337,Asthma
Diabetes,Hypothyroidism,401,3.7281795511221945,Osteoporosis
Diabetes,Hypothyroidism,377,2.5305039787798407,Motor disorders with no CVA
Diabetes,Hypothyroidism,343,3.8979591836734695,Hepatic steatosis
Diabetes,Hypothyroidism,304,3.5197368421052633,Gastroesophageal reflux disease
Diabetes,Hypothyroidism,266,0.11278195488721804,Disorders of adult personality and behaviour
Diabetes,Hypothyroidism,258,3.387596899224806,Other arthropathies
Diabetes,Hypothyroidism,239,3.5523012552301254,Psoriasis
Diabetes,Hypothyroidism,232,1.3275862068965518,Acquired heart diseases
Diabetes,Hypothyroidism,227,3.2334801762114536,Gout and other crystal deposition diseases
Diabetes,Hypothyroidism,223,3.524663677130045,Fibromyalgia
Diabetes,Hypothyroidism,211,2.374407582938389,Other organic mental disorder
Diabetes,Hypothyroidism,207,4.053140096618358,Urinary lithiasis
Diabetes,Hypothyroidism,169,3.775147928994083,Ischemic hepatitis except for cirrhosis
Diabetes,Hypothyroidism,165,0.8242424242424242,Parkinson disease
Diabetes,Hypothyroidism,148,0.3783783783783784,Intellectual disability
Diabetes,Hypothyroidism,148,1.722972972972973,Alcohol dependence
Diabetes,Hypothyroidism,142,0.30985915492957744,Epilepsy
Diabetes,Hypothyroidism,140,0.9428571428571428,Occlusion or stenosis of precerebral arteries
Diabetes,Hypothyroidism,121,1.4710743801652892,Age-related macular degeneration
Diabetes,Hypothyroidism,105,1.819047619047619,Schizophrenia
Diabetes,Hypothyroidism,103,4.165048543689321,Lung and Bronchus Cancer
Diabetes,Hypothyroidism,102,7.03921568627451,Collagen diseases and vasculitis
Diabetes,Hypothyroidism,96,0.7604166666666666,Other substance dependece
Diabetes,Hypothyroidism,89,0.7640449438202247,Peripheral and visceral artery aneurysms
Diabetes,Hypothyroidism,85,0.47058823529411764,Eating disorder
Diabetes,Hypothyroidism,81,0.8641975308641975,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Diabetes,Hypothyroidism,78,4.012820512820513,Rheumatoid arthritis and related diseases
Diabetes,Hypothyroidism,76,2.25,Extrapyramidal disorder
Diabetes,Hypothyroidism,75,1.08,Sequelae of cerebrovascular diseases
Diabetes,Hypothyroidism,68,3.1323529411764706,Breast cancer
Diabetes,Hypothyroidism,62,4.112903225806452,Colorectal cancer
Diabetes,Hypothyroidism,55,3.6,Head and neck cancer
Diabetes,Hypothyroidism,48,4.541666666666667,Thyroid cancer
Diabetes,Hypothyroidism,46,3.9565217391304346,Kidney and renal pelvis cancer
Diabetes,Hypothyroidism,42,3.880952380952381,Hepatic cirrhosis
Diabetes,Hypothyroidism,39,3.6153846153846154,Malabsorption and food intolerance
Diabetes,Hypothyroidism,33,3.606060606060606,Prostate cancer
Diabetes,Hypothyroidism,26,4.0,Leukemia
Diabetes,Hypothyroidism,25,3.68,Dermatitis
Diabetes,Hypothyroidism,21,3.5238095238095237,Bladder cancer
Diabetes,Hypothyroidism,18,2.9444444444444446,Uterine cancer
Diabetes,Hypothyroidism,17,1.7647058823529411,Congenital cardiovascular anomalies
Diabetes,Hypothyroidism,17,2.9411764705882355,Non-Hodgkin's lymphoma
Diabetes,Hypothyroidism,16,2.5625,Ill-defined cerebrovascular disease and others
Diabetes,Hypothyroidism,14,3.7857142857142856,Cervical cancer
Diabetes,Hypothyroidism,13,0.0,Autism
Diabetes,Hypothyroidism,13,4.076923076923077,Regional enteritis and ulcerative colitis
Diabetes,Hypothyroidism,12,1.5833333333333333,Other functional disorder
Diabetes,Hypothyroidism,10,4.2,Ovarian cancer
Diabetes,Hypothyroidism,7,3.0,Other developmental disorder
Diabetes,Hypothyroidism,7,2.142857142857143,Intra-abdominal artery disease
Diabetes,Hypothyroidism,7,6.0,Stomach cancer
Diabetes,Hypothyroidism,7,3.5714285714285716,Liver and Bile Duct Cancer
Diabetes,Hypothyroidism,7,3.7142857142857144,Pancreatic cancer
Diabetes,Hypothyroidism,6,6.5,HIV
Diabetes,Hypothyroidism,6,2.1666666666666665,Melanoma
Diabetes,Hypothyroidism,6,4.333333333333333,Hodgkinâ€™s disease
Diabetes,Hypothyroidism,3,11.666666666666666,Immunoproliferative neoplasm
Diabetes,Hypothyroidism,2,5.5,Bone and soft tissue sarcomas
Diabetes,Hypothyroidism,2,6.5,Testicular cancer
